x,y,gmt,precip_mm
-10573036.18,3479471.1635000035,2.0,198.13470095198676
-10568394.1572,3479471.1635000035,2.0,195.43036009933775
-10665798.7116,3484822.3464,2.0,174.65387003311258
-10661156.6889,3484822.3464,2.0,175.78603580298014
-10656525.798,3484822.3464,2.0,175.81203435430464
-10651883.7753,3484822.3464,2.0,177.5652680049669
-10647241.7525,3484822.3464,2.0,178.2709023178808
-10642610.8617,3484822.3464,2.0,177.91589921357615
-10637968.8389,3484822.3464,2.0,177.16204470198676
-10633326.8162,3484822.3464,2.0,178.41212230960264
-10628695.9253,3484822.3464,2.0,183.90275765728478
-10624053.9026,3484822.3464,2.0,183.88684809602648
-10619411.8798,3484822.3464,2.0,185.9193139486755
-10614780.989,3484822.3464,2.0,186.38322640728478
-10610138.9662,3484822.3464,2.0,188.56627690397352
-10605496.9435,3484822.3464,2.0,191.49909457781456
-10600866.0527,3484822.3464,2.0,194.09054221854305
-10596224.0299,3484822.3464,2.0,195.12293046357615
-10591582.0071,3484822.3464,2.0,197.88935740894038
-10586951.1163,3484822.3464,2.0,196.84085264900662
-10582309.0935,3484822.3464,2.0,196.90309395695365
-10577667.0708,3484822.3464,2.0,198.83924875827816
-10573036.18,3484822.3464,2.0,196.9829521937086
-10670440.7344,3490162.9245000035,2.0,176.72348406456953
-10665798.7116,3490162.9245000035,2.0,177.22343232615893
-10661156.6889,3490162.9245000035,2.0,176.35311465231788
-10656525.798,3490162.9245000035,2.0,176.5585420115894
-10651883.7753,3490162.9245000035,2.0,177.49689569536423
-10647241.7525,3490162.9245000035,2.0,178.5011899834437
-10642610.8617,3490162.9245000035,2.0,178.71171357615893
-10637968.8389,3490162.9245000035,2.0,179.30849027317882
-10633326.8162,3490162.9245000035,2.0,178.52548116721854
-10628695.9253,3490162.9245000035,2.0,182.59964817880794
-10624053.9026,3490162.9245000035,2.0,182.20115894039736
-10619411.8798,3490162.9245000035,2.0,184.52537769039736
-10614780.989,3490162.9245000035,2.0,185.8317984271523
-10610138.9662,3490162.9245000035,2.0,188.12815604304635
-10605496.9435,3490162.9245000035,2.0,191.52902524834437
-10600866.0527,3490162.9245000035,2.0,192.69347578642385
-10596224.0299,3490162.9245000035,2.0,194.6615273178808
-10591582.0071,3490162.9245000035,2.0,195.69981374172184
-10586951.1163,3490162.9245000035,2.0,197.32383071192052
-10582309.0935,3490162.9245000035,2.0,197.68566328642385
-10577667.0708,3490162.9245000035,2.0,195.75812293046357
-10670440.7344,3495518.578400001,2.0,177.21712024006624
-10665798.7116,3495518.578400001,2.0,178.1133588576159
-10661156.6889,3495518.578400001,2.0,177.96533526490066
-10656525.798,3495518.578400001,2.0,176.4361806705298
-10651883.7753,3495518.578400001,2.0,177.737065397351
-10647241.7525,3495518.578400001,2.0,179.0284819950331
-10642610.8617,3495518.578400001,2.0,180.1131001655629
-10637968.8389,3495518.578400001,2.0,181.38017384105962
-10633326.8162,3495518.578400001,2.0,180.54951365894038
-10628695.9253,3495518.578400001,2.0,182.07476200331126
-10624053.9026,3495518.578400001,2.0,183.6746688741722
-10619411.8798,3495518.578400001,2.0,185.79501241721854
-10614780.989,3495518.578400001,2.0,188.4700434602649
-10610138.9662,3495518.578400001,2.0,190.58130691225165
-10605496.9435,3495518.578400001,2.0,188.22627793874173
-10600866.0527,3495518.578400001,2.0,190.96510244205297
-10596224.0299,3495518.578400001,2.0,191.90831953642385
-10591582.0071,3495518.578400001,2.0,192.5051997102649
-10586951.1163,3495518.578400001,2.0,193.3359892384106
-10582309.0935,3495518.578400001,2.0,195.43186051324503
-10577667.0708,3495518.578400001,2.0,194.4664476407285
-10670440.7344,3500876.477499999,2.0,180.09483650662253
-10665798.7116,3500876.477499999,2.0,179.02434292218544
-10661156.6889,3500876.477499999,2.0,180.2185689155629
-10656525.798,3500876.477499999,2.0,178.02028145695365
-10651883.7753,3500876.477499999,2.0,178.5860151076159
-10647241.7525,3500876.477499999,2.0,179.67415149006624
-10642610.8617,3500876.477499999,2.0,180.1341835678808
-10637968.8389,3500876.477499999,2.0,179.77925807119206
-10633326.8162,3500876.477499999,2.0,180.12443087748343
-10628695.9253,3500876.477499999,2.0,182.13245033112582
-10624053.9026,3500876.477499999,2.0,183.46458505794703
-10619411.8798,3500876.477499999,2.0,184.4348872102649
-10614780.989,3500876.477499999,2.0,185.83539424668874
-10610138.9662,3500876.477499999,2.0,190.23621171357615
-10605496.9435,3500876.477499999,2.0,188.4163907284768
-10600866.0527,3500876.477499999,2.0,189.69290666390728
-10596224.0299,3500876.477499999,2.0,191.25178497516555
-10591582.0071,3500876.477499999,2.0,191.92979097682118
-10586951.1163,3500876.477499999,2.0,193.8097319950331
-10582309.0935,3500876.477499999,2.0,193.44639900662253
-10577667.0708,3500876.477499999,2.0,193.44906353476821
-10675071.6252,3506223.7699000016,2.0,182.0769608857616
-10670440.7344,3506223.7699000016,2.0,182.73261589403972
-10665798.7116,3506223.7699000016,2.0,183.3959540562914
-10661156.6889,3506223.7699000016,2.0,182.59155111754967
-10656525.798,3506223.7699000016,2.0,179.82080401490066
-10651883.7753,3506223.7699000016,2.0,179.5976045115894
-10647241.7525,3506223.7699000016,2.0,181.1263969370861
-10642610.8617,3506223.7699000016,2.0,180.76484892384107
-10637968.8389,3506223.7699000016,2.0,179.1902938741722
-10633326.8162,3506223.7699000016,2.0,178.73083091887418
-10628695.9253,3506223.7699000016,2.0,178.74425703642385
-10624053.9026,3506223.7699000016,2.0,182.53981270695365
-10619411.8798,3506223.7699000016,2.0,182.7146367963576
-10614780.989,3506223.7699000016,2.0,183.40948365066225
-10610138.9662,3506223.7699000016,2.0,187.12016245860926
-10605496.9435,3506223.7699000016,2.0,184.440190397351
-10600866.0527,3506223.7699000016,2.0,189.34662148178808
-10596224.0299,3506223.7699000016,2.0,188.89641970198676
-10591582.0071,3506223.7699000016,2.0,190.68990583609272
-10586951.1163,3506223.7699000016,2.0,192.39662665562915
-10582309.0935,3506223.7699000016,2.0,193.17873033940398
-10675071.6252,3511586.168200001,2.0,180.7878983857616
-10670440.7344,3511586.168200001,2.0,181.00820053807948
-10665798.7116,3511586.168200001,2.0,179.8595560844371
-10661156.6889,3511586.168200001,2.0,180.11317777317882
-10656525.798,3511586.168200001,2.0,181.72826986754967
-10651883.7753,3511586.168200001,2.0,178.15529283940398
-10647241.7525,3511586.168200001,2.0,179.19632139900662
-10642610.8617,3511586.168200001,2.0,177.60109685430464
-10637968.8389,3511586.168200001,2.0,177.51588369205297
-10633326.8162,3511586.168200001,2.0,177.23747930463577
-10628695.9253,3511586.168200001,2.0,178.56842404801324
-10624053.9026,3511586.168200001,2.0,178.63384726821192
-10619411.8798,3511586.168200001,2.0,181.5742446192053
-10614780.989,3511586.168200001,2.0,181.80986134105962
-10596224.0299,3511586.168200001,2.0,188.6994515728477
-10591582.0071,3511586.168200001,2.0,189.69430360099338
-10586951.1163,3511586.168200001,2.0,191.0376655629139
-10582309.0935,3511586.168200001,2.0,191.5845405629139
-10679713.648,3516950.8259999976,2.0,174.92663493377484
-10675071.6252,3516950.8259999976,2.0,177.28435430463577
-10647241.7525,3516950.8259999976,2.0,178.93703435430464
-10642610.8617,3516950.8259999976,2.0,176.7056860513245
-10637968.8389,3516950.8259999976,2.0,177.112065397351
-10633326.8162,3516950.8259999976,2.0,175.06790666390728
-10628695.9253,3516950.8259999976,2.0,178.75840749172184
-10624053.9026,3516950.8259999976,2.0,177.62929428807948
-10591582.0071,3516950.8259999976,2.0,186.8318242963576
-10586951.1163,3516950.8259999976,2.0,190.28280215231788
-10637968.8389,3522304.8748999983,2.0,175.40322330298014
-10633326.8162,3522304.8748999983,2.0,176.60101924668874
-10586951.1163,3522304.8748999983,2.0,190.4074917218543
-10591582.0071,3442100.6779000014,2.5,203.2531589673913
-10586951.1163,3442100.6779000014,2.5,203.5194633152174
